,id,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name
0,0,4,135.0,84.00,2525.0,16.0,82,1,dodge
1,3,4,89.0,71.00,1925.0,14.0,79,2,volkswagen
2,9,6,156.0,108.0,2930.0,15.5,76,3,toyota
3,11,4,90.0,75.00,2125.0,14.5,74,1,dodge
4,13,4,89.0,62.00,2050.0,17.3,81,3,toyota
5,16,4,151.0,90.00,2735.0,18.0,82,1,pontiac
6,18,6,250.0,105.0,3897.0,18.5,75,1,chevrolet
7,19,8,350.0,180.0,3664.0,11.0,73,1,oldsmobile
8,23,4,121.0,113.0,2234.0,12.5,70,2,bmw
9,24,8,318.0,135.0,3830.0,15.2,79,1,dodge
10,25,6,168.0,120.0,3820.0,16.7,76,2,mercedes-benz
11,28,4,105.0,75.00,2230.0,14.5,78,1,dodge
12,31,4,97.0,88.00,2130.0,14.5,70,3,datsun
13,32,8,350.0,165.0,4209.0,12.0,71,1,chevrolet
14,35,6,232.0,100.0,2945.0,16.0,73,1,amc
15,36,4,96.0,69.00,2189.0,18.0,72,2,renault
16,38,4,98.0,70.00,2120.0,15.5,80,1,chevrolet
17,39,4,98.0,60.00,2164.0,22.1,76,1,chevrolet
18,40,4,141.0,80.00,3230.0,20.4,81,2,peugeot
19,41,6,168.0,132.0,2910.0,11.4,80,3,datsun
20,42,4,122.0,85.00,2310.0,18.5,73,1,ford
21,43,8,302.0,130.0,4295.0,14.9,77,1,mercury
22,44,4,108.0,93.00,2391.0,15.5,74,3,subaru
23,47,8,305.0,130.0,3840.0,15.4,79,1,chevrolet
24,48,4,151.0,?,3035.0,20.5,82,1,amc
25,50,6,200.0,85.00,2990.0,18.2,79,1,mercury
26,53,8,400.0,175.0,5140.0,12.0,71,1,pontiac
27,57,4,135.0,84.00,2370.0,13.0,82,1,dodge
28,58,6,250.0,100.0,3329.0,15.5,71,1,chevrolet
29,62,6,262.0,85.00,3015.0,17.0,82,1,oldsmobile
30,67,4,98.0,68.00,2045.0,18.5,77,3,honda
31,69,6,250.0,100.0,3781.0,17.0,74,1,chevrolet
